Dog breed,weight (kg),height (cm),life expectancy,Ease of taming,shedding,popularity,Relative Size,quickness
Eyredale Terrier,27,60,12,7,2,7,7,8
Elskan Malmott,35,60,13,3,10,7,7,6
American Staffordshire Terrier,20,45,11,7,5,6,5,7
Akita,37,68,11,3,10,7,7,6
Bouvier des Flandres,40,60,11,7,2,5,7,7
Bull Terrier,25,36,13,3,5,7,5,7
Bullmastiff,49,67,9,3,5,8,10,4
Bulldog,25,35,8,1,5,10,5,1
French Bulldog,10,30,9,3,6,8,2,5
Boston Terrier,11,40,14,5,5,9,2,4
Boxer,29,60,11,5,5,10,7,5
Border Collie,18,50,11,10,5,7,5,9
Borzoi,34,75,11,1,5,4,10,8
"Beagle
",20,35,13,1,5,10,2,5
Bearded Collie,24,56,13,7,5,4,5,8
Bichon Frise,4,24,14,5,1,8,2,6
Bernese Mountain Dog,46,60,8,7,9,8,7,5
Jack Russell Terrier,7,30,15,5,6,6,2,3
Golden Retriever,30,58,13,10,9,10,7,7
Greyhound,32,76,11,5,5,2,7,10
Italian Greyhound,7,34,15,3,4,7,1,10
Griffon Bruxellois,3,19,13,3,1,7,2,5
Dobermann,35,68,11,10,5,9,7,8
Dogue de Bordeaux,60,65,10,1,5,1,10,3
Dalmatian,28,58,11,7,9,5,7,8
Great Dane,70,79,7,5,5,9,10,5
Siberian Husky,25,56,13,5,9,9,5,8
Irish wolfhound,70,80,7,5,5,5,10,7
"Weimaraner
",35,67,12,9,6,8,7,8
Vizsla,29,56,13,9,6,8,7,8
Whippet,10,50,13,5,3,6,5,10
West Highland White Terrier,8,28,15,5,1,8,2,6
Irish Terrier,13,46,12,5,1,2,5,7
Yorkshire Terrier,3,20,16,7,1,10,1,6
Afghan Hound,25,70,13,1,5,4,7,9
Bloodhound,40,60,10,1,5,8,7,7
Great Pyrenees,55,70,11,3,10,7,10,4
Old English Sheepdog,46,61,10,3,10,6,7,8
Sheltie,9,36,15,10,10,9,2,7
Canaan Dog,20,55,17,7,8,1,5,8
Labrador Retriever,45,58,15,10,5,10,7,7
Lhasa Apso,6,27,12,3,3,7,2,4
Neapolitan Mastiff,60,69,8,2,7,3,10,3
Newfoundland,60,70,12,7,10,8,10,5
Irish Setter,37,60,11,7,5,6,7,7
Chinese Crested Dog,3,33,14,3,1,7,2,5
Schipperke,5,30,14,9,8,5,2,5
Saluki,20,67,13,5,6,3,7,8
Samoyed,25,67,12,7,9,6,5,6
St. Bernard,60,68,9,3,10,8,10,3
Spinone Italiano,36,67,9,7,5,3,7,6
English Springer Spaniel,25,50,13,9,5,9,5,4
Scottish Terrier,9,25,12,3,2,7,2,6
Pug,10,26,17,3,10,9,2,4
Toy Poodle,7,26,17,10,1,10,2,7
Poodle,16,40,17,10,1,10,7,7
German Shorthaired Pointer,27,65,13,9,6,9,7,7
Polly,13,40,17,7,1,1,2,6
Pomeranian,3,25,15,9,10,9,2,6
Fox Terrier,8,37,14,5,5,4,2,8
Miniature Pinscher,7,27,15,7,4,9,1,7
Chow Chow,60,47,14,1,10,6,5,6
Chihuahua,2,20,16,3,5,10,1,5
Japanese Chin,3,25,11,3,9,6,1,4
Chesapeake Bay Retriever,36,60,12,7,5,7,7,7
Cairn Terrier,5,28,15,7,1,7,2,5
Cavalier King Charles Spaniel,7,32,13,5,7,9,1,4
Rough Collie,26,56,14,9,9,8,7,9
Komondor,50,75,11,3,1,1,7,6
Cocker Spaniel,15,38,17,9,5,9,2,7
Keeshond,16,40,16,9,10,4,5,5
Rottweiler,52,62,9,10,5,9,7,6
Australian Shepherd,28,50,15,9,8,8,5,8
Malinois dog,25,59,13,9,10,3,7,8
Malinois dog,25,61,13,9,10,5,7,8
German Shepherd,30,60,12,10,10,10,7,9
Flat-coated Retriever,30,54,9,9,5,4,7,7
"Rhodesian Ridgeback
",35,63,10,5,5,7,7,7
Shih Tzu,8,25,13,1,1,10,5,10
Shiba Inu,10,40,13,5,10,6,2,5
Shar Pei,26,47,10,5,5,7,5,5
Dachshund,10,20,14,3,5,10,2,3